Pattern Generating Match,Pattern matched,Piece Title,Part,First Note Measure Number,Last Note Measure Number,Note Durations,EMA,EMA url
"[5, -2, 2, 3, -2]","[5, -2, 2, 3, -2]",Vidi speciosam,Superius,1,3,"[4.0, 6.0, 2.0, 2.0, 2.0, 2.0]","1-3/1/@1.0-end,@start-end,@start-1.0","https://ema.crimproject.org/https%3A%2F%2Fcrimproject.org%2Fmei%2FMEI_3.0/CRIM_Model_0001.mei/1-3/1/@1.0-end,@start-end,@start-1.0"
"[5, -2, 2, 3, -2]","[5, -2, 2, 3, -2]",Vidi speciosam,Superius,10,12,"[4.0, 6.0, 2.0, 2.0, 2.0, 4.0]","10-12/1/@1.0-end,@start-end,@start-1.0","https://ema.crimproject.org/https%3A%2F%2Fcrimproject.org%2Fmei%2FMEI_3.0/CRIM_Model_0001.mei/10-12/1/@1.0-end,@start-end,@start-1.0"
"[5, -2, 2, 3, -2]","[5, -2, 2, 3, -2]",Vidi speciosam,Superius,31,33,"[2.0, 6.0, 2.0, 2.0, 4.0, 2.0]","31-33/1/@2.0-end,@start-end,@start-2.0","https://ema.crimproject.org/https%3A%2F%2Fcrimproject.org%2Fmei%2FMEI_3.0/CRIM_Model_0001.mei/31-33/1/@2.0-end,@start-end,@start-2.0"
"[5, -2, 2, 3, -2]","[5, -2, 2, 3, -2]",Vidi speciosam,Contratenor,34,36,"[2.0, 6.0, 2.0, 2.0, 2.0, 3.0]","34-36/2/@4.0-end,@start-end,@start-3.0","https://ema.crimproject.org/https%3A%2F%2Fcrimproject.org%2Fmei%2FMEI_3.0/CRIM_Model_0001.mei/34-36/2/@4.0-end,@start-end,@start-3.0"
"[5, -2, 2, 3, -2]","[5, -2, 2, 3, -2]",Vidi speciosam,PrimusTenor,5,7,"[4.0, 6.0, 2.0, 2.0, 2.0, 2.0]","5-7/3/@1.0-end,@start-end,@start-1.0","https://ema.crimproject.org/https%3A%2F%2Fcrimproject.org%2Fmei%2FMEI_3.0/CRIM_Model_0001.mei/5-7/3/@1.0-end,@start-end,@start-1.0"
"[5, -2, 2, 3, -2]","[5, -2, 2, 3, -2]",Vidi speciosam,PrimusTenor,29,31,"[2.0, 6.0, 2.0, 2.0, 2.0, 2.0]","29-31/3/@2.0-end,@start-end,@start-1.0","https://ema.crimproject.org/https%3A%2F%2Fcrimproject.org%2Fmei%2FMEI_3.0/CRIM_Model_0001.mei/29-31/3/@2.0-end,@start-end,@start-1.0"
"[5, -2, 2, 3, -2]","[5, -2, 2, 3, -2]",Vidi speciosam,SecundusTenor,9,11,"[2.0, 6.0, 2.0, 3.0, 1.0, 4.0]","9-11/4/@2.0-end,@start-end,@start-1.0","https://ema.crimproject.org/https%3A%2F%2Fcrimproject.org%2Fmei%2FMEI_3.0/CRIM_Model_0001.mei/9-11/4/@2.0-end,@start-end,@start-1.0"
"[5, -2, 2, 3, -2]","[5, -2, 2, 3, -2]",Je n’en puis plus durer,Tenor,11,12,"[2.0, 2.0, 2.0, 2.0, 2.0, 1.0]","11-12/3/@2.0-end,@start-3.0","https://ema.crimproject.org/https%3A%2F%2Fcrimproject.org%2Fmei%2FMEI_3.0/CRIM_Model_0013.mei/11-12/3/@2.0-end,@start-3.0"
"[-2, 2, 3, -2, -2]","[-2, 2, 3, -2, -2]",Vidi speciosam,Superius,1,3,"[6.0, 2.0, 2.0, 2.0, 2.0, 3.0]","1-3/1/@3.0-end,@start-end,@start-2.0","https://ema.crimproject.org/https%3A%2F%2Fcrimproject.org%2Fmei%2FMEI_3.0/CRIM_Model_0001.mei/1-3/1/@3.0-end,@start-end,@start-2.0"
"[-2, 2, 3, -2, -2]","[-2, 2, 3, -2, -2]",Vidi speciosam,Superius,10,12,"[6.0, 2.0, 2.0, 2.0, 4.0, 2.0]","10-12/1/@3.0-end,@start-end,@start-3.0","https://ema.crimproject.org/https%3A%2F%2Fcrimproject.org%2Fmei%2FMEI_3.0/CRIM_Model_0001.mei/10-12/1/@3.0-end,@start-end,@start-3.0"
"[-2, 2, 3, -2, -2]","[-2, 2, 3, -2, -2]",Vidi speciosam,Superius,31,33,"[6.0, 2.0, 2.0, 4.0, 2.0, 4.0]","31-33/1/@3.0-end,@start-end,@start-3.0","https://ema.crimproject.org/https%3A%2F%2Fcrimproject.org%2Fmei%2FMEI_3.0/CRIM_Model_0001.mei/31-33/1/@3.0-end,@start-end,@start-3.0"
"[-2, 2, 3, -2, -2]","[-2, 2, 3, -2, -2]",Vidi speciosam,Superius,35,37,"[4.0, 2.0, 2.0, 2.0, 3.0, 1.0]","35-37/1/@4.0-end,@start-end,@start-2.5","https://ema.crimproject.org/https%3A%2F%2Fcrimproject.org%2Fmei%2FMEI_3.0/CRIM_Model_0001.mei/35-37/1/@4.0-end,@start-end,@start-2.5"
"[-2, 2, 3, -2, -2]","[-2, 2, 3, -2, -2]",Vidi speciosam,Superius,125,126,"[4.0, 2.0, 2.0, 1.0, 1.0, 1.0]","125-126/1/@2.0-end,@start-3.0","https://ema.crimproject.org/https%3A%2F%2Fcrimproject.org%2Fmei%2FMEI_3.0/CRIM_Model_0001.mei/125-126/1/@2.0-end,@start-3.0"
"[-2, 2, 3, -2, -2]","[-2, 2, 3, -2, -2]",Vidi speciosam,Contratenor,3,4,"[6.0, 2.0, 2.0, 2.0, 2.0, 3.0]","3-4/2/@1.0-end,@start-4.0","https://ema.crimproject.org/https%3A%2F%2Fcrimproject.org%2Fmei%2FMEI_3.0/CRIM_Model_0001.mei/3-4/2/@1.0-end,@start-4.0"
"[-2, 2, 3, -2, -2]","[-2, 2, 3, -2, -2]",Vidi speciosam,Contratenor,35,36,"[6.0, 2.0, 2.0, 2.0, 3.0, 1.0]","35-36/2/@1.0-end,@start-4.5","https://ema.crimproject.org/https%3A%2F%2Fcrimproject.org%2Fmei%2FMEI_3.0/CRIM_Model_0001.mei/35-36/2/@1.0-end,@start-4.5"
"[-2, 2, 3, -2, -2]","[-2, 2, 3, -2, -2]",Vidi speciosam,PrimusTenor,5,7,"[6.0, 2.0, 2.0, 2.0, 2.0, 3.0]","5-7/3/@3.0-end,@start-end,@start-2.0","https://ema.crimproject.org/https%3A%2F%2Fcrimproject.org%2Fmei%2FMEI_3.0/CRIM_Model_0001.mei/5-7/3/@3.0-end,@start-end,@start-2.0"
"[-2, 2, 3, -2, -2]","[-2, 2, 3, -2, -2]",Vidi speciosam,PrimusTenor,29,31,"[6.0, 2.0, 2.0, 2.0, 2.0, 2.0]","29-31/3/@3.0-end,@start-end,@start-2.0","https://ema.crimproject.org/https%3A%2F%2Fcrimproject.org%2Fmei%2FMEI_3.0/CRIM_Model_0001.mei/29-31/3/@3.0-end,@start-end,@start-2.0"
"[-2, 2, 3, -2, -2]","[-2, 2, 3, -2, -2]",Vidi speciosam,PrimusTenor,37,39,"[4.0, 2.0, 2.0, 2.0, 3.0, 1.0]","37-39/3/@4.0-end,@start-end,@start-2.5","https://ema.crimproject.org/https%3A%2F%2Fcrimproject.org%2Fmei%2FMEI_3.0/CRIM_Model_0001.mei/37-39/3/@4.0-end,@start-end,@start-2.5"
"[-2, 2, 3, -2, -2]","[-2, 2, 3, -2, -2]",Vidi speciosam,SecundusTenor,9,11,"[6.0, 2.0, 3.0, 1.0, 4.0, 4.0]","9-11/4/@3.0-end,@start-end,@start-3.0","https://ema.crimproject.org/https%3A%2F%2Fcrimproject.org%2Fmei%2FMEI_3.0/CRIM_Model_0001.mei/9-11/4/@3.0-end,@start-end,@start-3.0"
"[-2, 2, 3, -2, -2]","[-2, 2, 3, -2, -2]",Vidi speciosam,SecundusTenor,32,34,"[6.0, 2.0, 4.0, 4.0, 3.0, 1.0]","32-34/4/@1.0-end,@start-end,@start-2.5","https://ema.crimproject.org/https%3A%2F%2Fcrimproject.org%2Fmei%2FMEI_3.0/CRIM_Model_0001.mei/32-34/4/@1.0-end,@start-end,@start-2.5"
"[-2, 2, 3, -2, -2]","[-2, 2, 3, -2, -2]",Vidi speciosam,SecundusTenor,131,133,"[4.0, 2.0, 2.0, 4.0, 2.0, 4.0]","131-133/4/@4.0-end,@start-end,@start-3.0","https://ema.crimproject.org/https%3A%2F%2Fcrimproject.org%2Fmei%2FMEI_3.0/CRIM_Model_0001.mei/131-133/4/@4.0-end,@start-end,@start-3.0"
"[-2, 2, 3, -2, -2]","[-2, 2, 3, -2, -2]",Vidi speciosam,Bassus,7,8,"[6.0, 2.0, 2.0, 2.0, 3.0, 1.0]","7-8/5/@1.0-end,@start-4.5","https://ema.crimproject.org/https%3A%2F%2Fcrimproject.org%2Fmei%2FMEI_3.0/CRIM_Model_0001.mei/7-8/5/@1.0-end,@start-4.5"
"[-2, 2, 3, -2, -2]","[-2, 2, 3, -2, -2]",Vidi speciosam,Bassus,31,32,"[6.0, 2.0, 2.0, 2.0, 3.0, 1.0]","31-32/5/@1.0-end,@start-4.5","https://ema.crimproject.org/https%3A%2F%2Fcrimproject.org%2Fmei%2FMEI_3.0/CRIM_Model_0001.mei/31-32/5/@1.0-end,@start-4.5"
"[-2, 2, 3, -2, -2]","[-2, 2, 3, -2, -2]",Quare fremuerunt gentes,Contratenor,229,230,"[2.0, 2.0, 2.0, 2.0, 1.0, 1.0]","229-230/2/@3.0-end,@start-3.5","https://ema.crimproject.org/https%3A%2F%2Fcrimproject.org%2Fmei%2FMEI_3.0/CRIM_Model_0010.mei/229-230/2/@3.0-end,@start-3.5"
"[-2, 2, 3, -2, -2]","[-2, 2, 3, -2, -2]",Quare fremuerunt gentes,SecundusTenor,168,169,"[1.0, 1.0, 2.0, 4.0, 1.0, 1.0]","168-169/4/@2.0-end,@start-2.5","https://ema.crimproject.org/https%3A%2F%2Fcrimproject.org%2Fmei%2FMEI_3.0/CRIM_Model_0010.mei/168-169/4/@2.0-end,@start-2.5"
"[-2, 2, 3, -2, -2]","[-2, 2, 3, -2, -2]",Je n’en puis plus durer,Superius,9,10,"[2.0, 2.0, 2.0, 2.0, 2.0, 4.0]","9-10/1/@1.0-end,@start-2.0","https://ema.crimproject.org/https%3A%2F%2Fcrimproject.org%2Fmei%2FMEI_3.0/CRIM_Model_0013.mei/9-10/1/@1.0-end,@start-2.0"
"[-2, 2, 3, -2, -2]","[-2, 2, 3, -2, -2]",Je n’en puis plus durer,Superius,52,54,"[2.0, 2.0, 2.0, 4.0, 4.0, 2.0]","52-54/1/@3.0-end,@start-end,@start-2.0","https://ema.crimproject.org/https%3A%2F%2Fcrimproject.org%2Fmei%2FMEI_3.0/CRIM_Model_0013.mei/52-54/1/@3.0-end,@start-end,@start-2.0"
"[-2, 2, 3, -2, -2]","[-2, 2, 3, -2, -2]",Je n’en puis plus durer,Tenor,11,12,"[2.0, 2.0, 2.0, 2.0, 1.0, 1.0]","11-12/3/@3.0-end,@start-3.5","https://ema.crimproject.org/https%3A%2F%2Fcrimproject.org%2Fmei%2FMEI_3.0/CRIM_Model_0013.mei/11-12/3/@3.0-end,@start-3.5"
"[-2, 2, 3, -2, -2]","[-2, 2, 3, -2, -2]",Quo abiit dilectus tuus,Contratenor,9,10,"[4.0, 2.0, 2.0, 3.0, 1.0, 4.0]","9-10/2/@2.0-end,@start-4.0","https://ema.crimproject.org/https%3A%2F%2Fcrimproject.org%2Fmei%2FMEI_3.0/CRIM_Model_0015.mei/9-10/2/@2.0-end,@start-4.0"
"[-2, 2, 3, -2, -2]","[-2, 2, 3, -2, -2]",Quo abiit dilectus tuus,Contratenor,120,121,"[4.0, 2.0, 2.0, 3.0, 1.0, 1.0]","120-121/2/@2.0-end,@start-4.0","https://ema.crimproject.org/https%3A%2F%2Fcrimproject.org%2Fmei%2FMEI_3.0/CRIM_Model_0015.mei/120-121/2/@2.0-end,@start-4.0"
"[-2, 2, 3, -2, -2]","[-2, 2, 3, -2, -2]","Benedicta es, coelorum regina",[Discantus],95,97,"[2.0, 4.0, 4.0, 4.0, 2.0, 2.0]","95-97/1/@2.0-end,@start-end,@start-2.0","https://ema.crimproject.org/https%3A%2F%2Fcrimproject.org%2Fmei%2FMEI_3.0/CRIM_Model_0017.mei/95-97/1/@2.0-end,@start-end,@start-2.0"
"[-2, 2, 3, -2, -2]","[-2, 2, 3, -2, -2]","Benedicta es, cælorum Regina",Altus,40,41,"[1.0, 1.0, 2.0, 4.0, 4.0, 2.0]","40-41/2/@2.0-end,@start-4.0","https://ema.crimproject.org/https%3A%2F%2Fcrimproject.org%2Fmei%2FMEI_3.0/CRIM_Model_0021.mei/40-41/2/@2.0-end,@start-4.0"
"[-2, 2, 3, -2, -2]","[-2, 2, 3, -2, -2]",Benedicta es coelorum regina,Cantus ,62,64,"[4.0, 2.0, 2.0, 2.0, 4.0, 8.0]","62-64/1/@4.0-end,@start-end,@start-3.0","https://ema.crimproject.org/https%3A%2F%2Fcrimproject.org%2Fmei%2FMEI_3.0/CRIM_Model_0023.mei/62-64/1/@4.0-end,@start-end,@start-3.0"
"[2, 3, -2, -2, -2]","[2, 3, -2, -2, -2]",Vidi speciosam,Superius,2,3,"[2.0, 2.0, 2.0, 2.0, 3.0, 1.0]","2-3/1/@2.0-end,@start-3.5","https://ema.crimproject.org/https%3A%2F%2Fcrimproject.org%2Fmei%2FMEI_3.0/CRIM_Model_0001.mei/2-3/1/@2.0-end,@start-3.5"
"[2, 3, -2, -2, -2]","[2, 3, -2, -2, -2]",Vidi speciosam,Superius,3,5,"[2.0, 2.0, 2.0, 2.0, 4.0, 1.0]","3-5/1/@4.0-end,@start-end,@start-2.0","https://ema.crimproject.org/https%3A%2F%2Fcrimproject.org%2Fmei%2FMEI_3.0/CRIM_Model_0001.mei/3-5/1/@4.0-end,@start-end,@start-2.0"
"[2, 3, -2, -2, -2]","[2, 3, -2, -2, -2]",Vidi speciosam,Superius,11,12,"[2.0, 2.0, 2.0, 4.0, 2.0, 2.0]","11-12/1/@2.0-end,@start-4.0","https://ema.crimproject.org/https%3A%2F%2Fcrimproject.org%2Fmei%2FMEI_3.0/CRIM_Model_0001.mei/11-12/1/@2.0-end,@start-4.0"
"[2, 3, -2, -2, -2]","[2, 3, -2, -2, -2]",Vidi speciosam,Superius,36,37,"[2.0, 2.0, 2.0, 3.0, 1.0, 2.0]","36-37/1/@2.0-end,@start-3.0","https://ema.crimproject.org/https%3A%2F%2Fcrimproject.org%2Fmei%2FMEI_3.0/CRIM_Model_0001.mei/36-37/1/@2.0-end,@start-3.0"
"[2, 3, -2, -2, -2]","[2, 3, -2, -2, -2]",Vidi speciosam,Superius,41,43,"[2.0, 2.0, 4.0, 2.0, 4.0, 4.0]","41-43/1/@4.0-end,@start-end,@start-3.0","https://ema.crimproject.org/https%3A%2F%2Fcrimproject.org%2Fmei%2FMEI_3.0/CRIM_Model_0001.mei/41-43/1/@4.0-end,@start-end,@start-3.0"
"[2, 3, -2, -2, -2]","[2, 3, -2, -2, -2]",Vidi speciosam,Superius,45,47,"[2.0, 2.0, 4.0, 2.0, 4.0, 2.0]","45-47/1/@4.0-end,@start-end,@start-3.0","https://ema.crimproject.org/https%3A%2F%2Fcrimproject.org%2Fmei%2FMEI_3.0/CRIM_Model_0001.mei/45-47/1/@4.0-end,@start-end,@start-3.0"
"[2, 3, -2, -2, -2]","[2, 3, -2, -2, -2]",Vidi speciosam,Superius,51,52,"[4.0, 2.0, 3.0, 1.0, 1.0, 1.0]","51-52/1/@1.0-end,@start-2.5","https://ema.crimproject.org/https%3A%2F%2Fcrimproject.org%2Fmei%2FMEI_3.0/CRIM_Model_0001.mei/51-52/1/@1.0-end,@start-2.5"
"[2, 3, -2, -2, -2]","[2, 3, -2, -2, -2]",Vidi speciosam,Superius,125,126,"[2.0, 2.0, 1.0, 1.0, 1.0, 1.0]","125-126/1/@4.0-end,@start-3.5","https://ema.crimproject.org/https%3A%2F%2Fcrimproject.org%2Fmei%2FMEI_3.0/CRIM_Model_0001.mei/125-126/1/@4.0-end,@start-3.5"
"[2, 3, -2, -2, -2]","[2, 3, -2, -2, -2]",Vidi speciosam,Contratenor,3,5,"[2.0, 2.0, 2.0, 2.0, 3.0, 1.0]","3-5/2/@4.0-end,@start-end,@start-1.5","https://ema.crimproject.org/https%3A%2F%2Fcrimproject.org%2Fmei%2FMEI_3.0/CRIM_Model_0001.mei/3-5/2/@4.0-end,@start-end,@start-1.5"
"[2, 3, -2, -2, -2]","[2, 3, -2, -2, -2]",Vidi speciosam,Contratenor,35,37,"[2.0, 2.0, 2.0, 3.0, 1.0, 2.0]","35-37/2/@4.0-end,@start-end,@start-1.0","https://ema.crimproject.org/https%3A%2F%2Fcrimproject.org%2Fmei%2FMEI_3.0/CRIM_Model_0001.mei/35-37/2/@4.0-end,@start-end,@start-1.0"
"[2, 3, -2, -2, -2]","[2, 3, -2, -2, -2]",Vidi speciosam,Contratenor,44,46,"[2.0, 2.0, 4.0, 2.0, 4.0, 2.0]","44-46/2/@2.0-end,@start-end,@start-1.0","https://ema.crimproject.org/https%3A%2F%2Fcrimproject.org%2Fmei%2FMEI_3.0/CRIM_Model_0001.mei/44-46/2/@2.0-end,@start-end,@start-1.0"
"[2, 3, -2, -2, -2]","[2, 3, -2, -2, -2]",Vidi speciosam,PrimusTenor,6,7,"[2.0, 2.0, 2.0, 2.0, 3.0, 1.0]","6-7/3/@2.0-end,@start-3.5","https://ema.crimproject.org/https%3A%2F%2Fcrimproject.org%2Fmei%2FMEI_3.0/CRIM_Model_0001.mei/6-7/3/@2.0-end,@start-3.5"
"[2, 3, -2, -2, -2]","[2, 3, -2, -2, -2]",Vidi speciosam,PrimusTenor,30,31,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0]","30-31/3/@2.0-end,@start-3.0","https://ema.crimproject.org/https%3A%2F%2Fcrimproject.org%2Fmei%2FMEI_3.0/CRIM_Model_0001.mei/30-31/3/@2.0-end,@start-3.0"
"[2, 3, -2, -2, -2]","[2, 3, -2, -2, -2]",Vidi speciosam,PrimusTenor,38,39,"[2.0, 2.0, 2.0, 3.0, 1.0, 2.0]","38-39/3/@2.0-end,@start-3.0","https://ema.crimproject.org/https%3A%2F%2Fcrimproject.org%2Fmei%2FMEI_3.0/CRIM_Model_0001.mei/38-39/3/@2.0-end,@start-3.0"
"[2, 3, -2, -2, -2]","[2, 3, -2, -2, -2]",Vidi speciosam,SecundusTenor,32,34,"[2.0, 4.0, 4.0, 3.0, 1.0, 2.0]","32-34/4/@4.0-end,@start-end,@start-3.0","https://ema.crimproject.org/https%3A%2F%2Fcrimproject.org%2Fmei%2FMEI_3.0/CRIM_Model_0001.mei/32-34/4/@4.0-end,@start-end,@start-3.0"
"[2, 3, -2, -2, -2]","[2, 3, -2, -2, -2]",Vidi speciosam,SecundusTenor,38,40,"[2.0, 2.0, 4.0, 2.0, 4.0, 4.0]","38-40/4/@4.0-end,@start-end,@start-3.0","https://ema.crimproject.org/https%3A%2F%2Fcrimproject.org%2Fmei%2FMEI_3.0/CRIM_Model_0001.mei/38-40/4/@4.0-end,@start-end,@start-3.0"
"[2, 3, -2, -2, -2]","[2, 3, -2, -2, -2]",Vidi speciosam,SecundusTenor,132,134,"[2.0, 2.0, 4.0, 2.0, 4.0, 16.0]","132-134/4/@2.0-end,@start-end,@start-1.0","https://ema.crimproject.org/https%3A%2F%2Fcrimproject.org%2Fmei%2FMEI_3.0/CRIM_Model_0001.mei/132-134/4/@2.0-end,@start-end,@start-1.0"
"[2, 3, -2, -2, -2]","[2, 3, -2, -2, -2]",Vidi speciosam,Bassus,7,9,"[2.0, 2.0, 2.0, 3.0, 1.0, 2.0]","7-9/5/@4.0-end,@start-end,@start-1.0","https://ema.crimproject.org/https%3A%2F%2Fcrimproject.org%2Fmei%2FMEI_3.0/CRIM_Model_0001.mei/7-9/5/@4.0-end,@start-end,@start-1.0"
"[2, 3, -2, -2, -2]","[2, 3, -2, -2, -2]",Vidi speciosam,Bassus,31,33,"[2.0, 2.0, 2.0, 3.0, 1.0, 2.0]","31-33/5/@4.0-end,@start-end,@start-1.0","https://ema.crimproject.org/https%3A%2F%2Fcrimproject.org%2Fmei%2FMEI_3.0/CRIM_Model_0001.mei/31-33/5/@4.0-end,@start-end,@start-1.0"
"[2, 3, -2, -2, -2]","[2, 3, -2, -2, -2]",Vidi speciosam,Bassus,40,42,"[2.0, 2.0, 4.0, 2.0, 4.0, 4.0]","40-42/5/@4.0-end,@start-end,@start-3.0","https://ema.crimproject.org/https%3A%2F%2Fcrimproject.org%2Fmei%2FMEI_3.0/CRIM_Model_0001.mei/40-42/5/@4.0-end,@start-end,@start-3.0"
"[2, 3, -2, -2, -2]","[2, 3, -2, -2, -2]",Vidi speciosam,Bassus,43,45,"[2.0, 2.0, 4.0, 2.0, 4.0, 4.0]","43-45/5/@4.0-end,@start-end,@start-3.0","https://ema.crimproject.org/https%3A%2F%2Fcrimproject.org%2Fmei%2FMEI_3.0/CRIM_Model_0001.mei/43-45/5/@4.0-end,@start-end,@start-3.0"
"[2, 3, -2, -2, -2]","[2, 3, -2, -2, -2]",Je suis déshéritée,Superius,21,23,"[2.0, 2.0, 2.0, 2.0, 4.0, 4.0]","21-23/1/@4.0-end,@start-end,@start-2.0","https://ema.crimproject.org/https%3A%2F%2Fcrimproject.org%2Fmei%2FMEI_3.0/CRIM_Model_0009.mei/21-23/1/@4.0-end,@start-end,@start-2.0"
"[2, 3, -2, -2, -2]","[2, 3, -2, -2, -2]",Quare fremuerunt gentes,Superius,194,195,"[4.0, 2.0, 3.0, 1.0, 1.0, 1.0]","194-195/1/@1.0-end,@start-2.5","https://ema.crimproject.org/https%3A%2F%2Fcrimproject.org%2Fmei%2FMEI_3.0/CRIM_Model_0010.mei/194-195/1/@1.0-end,@start-2.5"
"[2, 3, -2, -2, -2]","[2, 3, -2, -2, -2]",Quare fremuerunt gentes,Contratenor,229,230,"[2.0, 2.0, 2.0, 1.0, 1.0, 1.0]","229-230/2/@4.0-end,@start-4.0","https://ema.crimproject.org/https%3A%2F%2Fcrimproject.org%2Fmei%2FMEI_3.0/CRIM_Model_0010.mei/229-230/2/@4.0-end,@start-4.0"
"[2, 3, -2, -2, -2]","[2, 3, -2, -2, -2]",Quare fremuerunt gentes,PrimusTenor,127,130,"[2.0, 4.0, 6.0, 2.0, 6.0, 2.0]","127-130/3/@4.0-end,@start-end,@start-end,@start-2.0","https://ema.crimproject.org/https%3A%2F%2Fcrimproject.org%2Fmei%2FMEI_3.0/CRIM_Model_0010.mei/127-130/3/@4.0-end,@start-end,@start-end,@start-2.0"
"[2, 3, -2, -2, -2]","[2, 3, -2, -2, -2]",Quare fremuerunt gentes,[Bassus],132,134,"[4.0, 2.0, 4.0, 2.0, 4.0, 6.0]","132-134/5/@1.0-end,@start-end,@start-1.0","https://ema.crimproject.org/https%3A%2F%2Fcrimproject.org%2Fmei%2FMEI_3.0/CRIM_Model_0010.mei/132-134/5/@1.0-end,@start-end,@start-1.0"
"[2, 3, -2, -2, -2]","[2, 3, -2, -2, -2]",Voulant honneur,Superius,22,24,"[2.0, 2.0, 2.0, 3.0, 1.0, 2.0]","22-24/1/@4.0-end,@start-end,@start-1.0","https://ema.crimproject.org/https%3A%2F%2Fcrimproject.org%2Fmei%2FMEI_3.0/CRIM_Model_0012.mei/22-24/1/@4.0-end,@start-end,@start-1.0"
"[2, 3, -2, -2, -2]","[2, 3, -2, -2, -2]",Voulant honneur,Tenor,2,3,"[0.5, 2.0, 2.0, 2.0, 2.0, 2.0]","2-3/3/@2.75-end,@start-3.0","https://ema.crimproject.org/https%3A%2F%2Fcrimproject.org%2Fmei%2FMEI_3.0/CRIM_Model_0012.mei/2-3/3/@2.75-end,@start-3.0"
"[2, 3, -2, -2, -2]","[2, 3, -2, -2, -2]",Voulant honneur,Tenor,12,13,"[0.5, 2.0, 2.0, 2.0, 2.0, 2.0]","12-13/3/@2.75-end,@start-3.0","https://ema.crimproject.org/https%3A%2F%2Fcrimproject.org%2Fmei%2FMEI_3.0/CRIM_Model_0012.mei/12-13/3/@2.75-end,@start-3.0"
"[2, 3, -2, -2, -2]","[2, 3, -2, -2, -2]",Voulant honneur,Tenor,31,33,"[0.5, 2.0, 2.0, 2.0, 2.0, 2.0]","31-33/3/@4.75-end,@start-end,@start-1.0","https://ema.crimproject.org/https%3A%2F%2Fcrimproject.org%2Fmei%2FMEI_3.0/CRIM_Model_0012.mei/31-33/3/@4.75-end,@start-end,@start-1.0"
"[2, 3, -2, -2, -2]","[2, 3, -2, -2, -2]",Voulant honneur,Tenor,42,43,"[0.5, 2.0, 2.0, 2.0, 2.0, 2.0]","42-43/3/@2.75-end,@start-3.0","https://ema.crimproject.org/https%3A%2F%2Fcrimproject.org%2Fmei%2FMEI_3.0/CRIM_Model_0012.mei/42-43/3/@2.75-end,@start-3.0"
"[2, 3, -2, -2, -2]","[2, 3, -2, -2, -2]",Voulant honneur,Bassus,22,24,"[2.0, 2.0, 2.0, 3.0, 1.0, 2.0]","22-24/4/@4.0-end,@start-end,@start-1.0","https://ema.crimproject.org/https%3A%2F%2Fcrimproject.org%2Fmei%2FMEI_3.0/CRIM_Model_0012.mei/22-24/4/@4.0-end,@start-end,@start-1.0"
"[2, 3, -2, -2, -2]","[2, 3, -2, -2, -2]",Je n’en puis plus durer,Superius,9,10,"[2.0, 2.0, 2.0, 2.0, 4.0, 2.0]","9-10/1/@2.0-end,@start-4.0","https://ema.crimproject.org/https%3A%2F%2Fcrimproject.org%2Fmei%2FMEI_3.0/CRIM_Model_0013.mei/9-10/1/@2.0-end,@start-4.0"
"[2, 3, -2, -2, -2]","[2, 3, -2, -2, -2]",Je n’en puis plus durer,Tenor,28,29,"[1.0, 1.0, 1.0, 2.0, 2.0, 2.0]","28-29/3/@3.5-end,@start-3.0","https://ema.crimproject.org/https%3A%2F%2Fcrimproject.org%2Fmei%2FMEI_3.0/CRIM_Model_0013.mei/28-29/3/@3.5-end,@start-3.0"
"[2, 3, -2, -2, -2]","[2, 3, -2, -2, -2]",Quo abiit dilectus tuus,Superior,120,122,"[2.0, 2.0, 3.0, 1.0, 2.0, 2.0]","120-122/1/@4.0-end,@start-end,@start-1.0","https://ema.crimproject.org/https%3A%2F%2Fcrimproject.org%2Fmei%2FMEI_3.0/CRIM_Model_0015.mei/120-122/1/@4.0-end,@start-end,@start-1.0"
"[2, 3, -2, -2, -2]","[2, 3, -2, -2, -2]",Quo abiit dilectus tuus,Contratenor,9,11,"[2.0, 2.0, 3.0, 1.0, 4.0, 2.0]","9-11/2/@4.0-end,@start-end,@start-2.0","https://ema.crimproject.org/https%3A%2F%2Fcrimproject.org%2Fmei%2FMEI_3.0/CRIM_Model_0015.mei/9-11/2/@4.0-end,@start-end,@start-2.0"
"[2, 3, -2, -2, -2]","[2, 3, -2, -2, -2]",Quo abiit dilectus tuus,Contratenor,120,121,"[2.0, 2.0, 3.0, 1.0, 1.0, 1.0]","120-121/2/@4.0-end,@start-4.5","https://ema.crimproject.org/https%3A%2F%2Fcrimproject.org%2Fmei%2FMEI_3.0/CRIM_Model_0015.mei/120-121/2/@4.0-end,@start-4.5"
"[2, 3, -2, -2, -2]","[2, 3, -2, -2, -2]",Quo abiit dilectus tuus,Bassus,137,139,"[2.0, 2.0, 2.0, 4.0, 4.0, 4.0]","137-139/4/@2.0-end,@start-end,@start-1.0","https://ema.crimproject.org/https%3A%2F%2Fcrimproject.org%2Fmei%2FMEI_3.0/CRIM_Model_0015.mei/137-139/4/@2.0-end,@start-end,@start-1.0"
